window_title,timestamp,category,app_name
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 18:50:10.956967,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 18:50:40.975603,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 18:51:10.986115,School,Overleaf
Window Logging App Details - Google Chrome,2023-10-16 18:51:40.995624,Browsers,unknown
logarithms - Why there is no formula log(a) * log(b) = (something)? - Mathematics Stack Exchange - Google Chrome,2023-10-16 18:52:11.004706,Browsers,unknown
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 18:52:41.017844,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 18:53:11.036721,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 18:53:41.052970,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 18:54:11.061363,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 18:54:41.071122,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 18:55:11.099480,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 18:55:41.109011,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 18:56:11.122553,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 18:56:41.145134,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 18:57:11.162532,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 18:57:41.175400,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 18:58:11.187679,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 18:58:41.197033,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 18:59:11.203967,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 18:59:41.220077,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:00:11.421096,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:00:41.430759,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:01:11.432408,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:01:41.458129,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:02:11.464447,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:02:41.472782,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:03:11.487983,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:03:41.499964,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:04:11.502782,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:04:41.508528,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:05:11.549043,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:05:41.564046,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:06:11.576359,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:06:41.579412,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:07:11.593503,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:07:41.593602,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:08:11.608305,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:08:41.615030,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:09:11.623545,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:09:41.629528,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:10:11.658248,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:10:41.660789,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:11:11.672928,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:11:41.673917,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:12:11.683336,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:12:41.685310,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:13:11.688092,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:13:41.694954,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:14:11.696650,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:14:41.700488,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:15:11.745898,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:15:41.747640,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:16:11.755835,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:16:41.763834,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:17:11.770529,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:17:41.785317,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:18:11.787207,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:18:41.791837,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:19:11.803684,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:19:41.810255,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:20:11.855594,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:20:41.860939,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:21:11.861030,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:21:41.876481,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:22:11.877191,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:22:41.887986,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:23:11.887994,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:23:41.890261,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:24:11.890281,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:24:41.900266,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:25:11.936514,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:25:41.937605,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:26:11.946149,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:26:41.949872,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:27:11.961223,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:27:41.964377,School,Overleaf
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 19:28:11.974468,School,Overleaf
Steam,2023-10-16 19:28:41.981866,Games,unknown
MTGA,2023-10-16 19:29:11.993752,Other,unknown
MTGA,2023-10-16 19:29:41.999021,Other,unknown
MTGA,2023-10-16 19:30:12.170874,Other,unknown
MTGA,2023-10-16 19:30:42.174082,Other,unknown
MTGA,2023-10-16 19:31:12.179897,Other,unknown
MTGA,2023-10-16 19:31:42.187973,Other,unknown
MTGA,2023-10-16 19:32:12.198717,Other,unknown
MTGA,2023-10-16 19:32:42.207195,Other,unknown
MTGA,2023-10-16 19:33:12.218833,Other,unknown
MTGA,2023-10-16 19:33:42.232698,Other,unknown
MTGA,2023-10-16 19:34:12.238079,Other,unknown
MTGA,2023-10-16 19:34:42.244850,Other,unknown
MTGA,2023-10-16 19:35:12.276036,Other,unknown
MTGA,2023-10-16 19:35:42.293689,Other,unknown
MTGA,2023-10-16 19:36:12.310718,Other,unknown
MTGA,2023-10-16 19:36:42.325019,Other,unknown
MTGA,2023-10-16 19:37:12.345031,Other,unknown
MTGA,2023-10-16 19:37:42.356986,Other,unknown
MTGA,2023-10-16 19:38:12.367309,Other,unknown
MTGA,2023-10-16 19:38:42.375213,Other,unknown
MTGA,2023-10-16 19:39:12.380924,Other,unknown
MTGA,2023-10-16 19:39:42.394873,Other,unknown
MTGA,2023-10-16 19:40:12.419057,Other,unknown
MTGA,2023-10-16 19:40:42.427172,Other,unknown
MTGA,2023-10-16 19:41:12.439623,Other,unknown
MTGA,2023-10-16 19:41:42.449428,Other,unknown
MTGA,2023-10-16 19:42:12.454906,Other,unknown
MTGA,2023-10-16 19:42:42.466927,Other,unknown
MTGA,2023-10-16 19:43:12.482581,Other,unknown
MTGA,2023-10-16 19:43:42.497149,Other,unknown
MTGA,2023-10-16 19:44:12.509741,Other,unknown
MTGA,2023-10-16 19:44:42.517075,Other,unknown
MTGA,2023-10-16 19:45:12.542760,Other,unknown
